Dataset, K, Total time, Diversity, Alpha,,
scp41.txt,5,691,0.066008314,0.1,,0.066008314
scp41.txt,6,605,0.073165973,0.1,,0.073165973
scp41.txt,7,570,0.081072364,0.1,,0.081072364
scp41.txt,8,562,0.084605804,0.1,,0.084605804
scp41.txt,9,565,0.085748261,0.1,,0.085748261
scp41.txt,10,570,0.085892568,0.1,,0.085892568
scp41.txt,11,569,0.083569365,0.1,,0.083569365
scp41.txt,12,577,0.081613398,0.1,,0.081613398
scp41.txt,13,584,0.079849308,0.1,,0.079849308
scp41.txt,14,590,0.078337455,0.1,,0.078337455
scp41.txt,15,590,0.076962689,0.1,,0.076962689
scp41.txt,16,587,0.075765316,0.1,,0.075765316
scp41.txt,17,599,0.076066425,0.1,,0.076066425
scp41.txt,18,598,0.076181655,0.1,,0.076181655
scp41.txt,19,616,0.078522816,0.1,,0.078522816
scp41.txt,20,626,0.080281929,0.1,,0.080281929
scp41.txt,5,565,0.062700603,0.2,,0.062700603
scp41.txt,6,567,0.069261791,0.2,,0.069261791
scp41.txt,7,564,0.076509316,0.2,,0.076509316
scp41.txt,8,570,0.079748302,0.2,,0.079748302
scp41.txt,9,564,0.080795555,0.2,,0.080795555
scp41.txt,10,566,0.080927836,0.2,,0.080927836
scp41.txt,11,568,0.078798234,0.2,,0.078798234
scp41.txt,12,570,0.077005264,0.2,,0.077005264
scp41.txt,13,576,0.075388181,0.2,,0.075388181
scp41.txt,14,581,0.074002316,0.2,,0.074002316
scp41.txt,15,584,0.072742114,0.2,,0.072742114
scp41.txt,16,585,0.071644522,0.2,,0.071644522
scp41.txt,17,592,0.071920539,0.2,,0.071920539
scp41.txt,18,609,0.072026166,0.2,,0.072026166
scp41.txt,19,612,0.074172231,0.2,,0.074172231
scp41.txt,20,611,0.07578475,0.2,,0.07578475
scp41.txt,5,560,0.059901772,0.3,,0.059901772
scp41.txt,6,566,0.065958252,0.3,,0.065958252
scp41.txt,7,562,0.072648276,0.3,,0.072648276
scp41.txt,8,564,0.075638109,0.3,,0.075638109
scp41.txt,9,570,0.076604804,0.3,,0.076604804
scp41.txt,10,567,0.076726909,0.3,,0.076726909
scp41.txt,11,570,0.074761123,0.3,,0.074761123
scp41.txt,12,571,0.073106073,0.3,,0.073106073
scp41.txt,13,585,0.071613382,0.3,,0.071613382
scp41.txt,14,595,0.070334122,0.3,,0.070334122
scp41.txt,15,584,0.069170858,0.3,,0.069170858
scp41.txt,16,592,0.068157696,0.3,,0.068157696
scp41.txt,17,593,0.068412481,0.3,,0.068412481
scp41.txt,18,600,0.068509984,0.3,,0.068509984
scp41.txt,19,618,0.070490966,0.3,,0.070490966
scp41.txt,20,607,0.071979446,0.3,,0.071979446
scp41.txt,5,565,0.057502773,0.4,,0.057502773
scp41.txt,6,565,0.063126648,0.4,,0.063126648
scp41.txt,7,566,0.069338813,0.4,,0.069338813
scp41.txt,8,571,0.072115086,0.4,,0.072115086
scp41.txt,9,569,0.073012731,0.4,,0.073012731
scp41.txt,10,573,0.073126115,0.4,,0.073126115
scp41.txt,11,573,0.071300742,0.4,,0.071300742
scp41.txt,12,577,0.06976391,0.4,,0.06976391
scp41.txt,13,581,0.06837784,0.4,,0.06837784
scp41.txt,14,580,0.067189955,0.4,,0.067189955
scp41.txt,15,586,0.066109782,0.4,,0.066109782
scp41.txt,16,585,0.065168989,0.4,,0.065168989
scp41.txt,17,596,0.065405575,0.4,,0.065405575
scp41.txt,18,596,0.065496113,0.4,,0.065496113
scp41.txt,19,602,0.067335596,0.4,,0.067335596
scp41.txt,20,610,0.068717756,0.4,,0.068717756
scp41.txt,5,557,0.055423641,0.5,,0.055423641
scp41.txt,6,559,0.060672591,0.5,,0.060672591
scp41.txt,7,564,0.066470611,0.5,,0.066470611
scp41.txt,8,571,0.0690618,0.5,,0.0690618
scp41.txt,9,580,0.069899602,0.5,,0.069899602
scp41.txt,10,567,0.070005427,0.5,,0.070005427
scp41.txt,11,572,0.068301745,0.5,,0.068301745
scp41.txt,12,574,0.066867369,0.5,,0.066867369
scp41.txt,13,594,0.065573703,0.5,,0.065573703
scp41.txt,14,580,0.064465011,0.5,,0.064465011
scp41.txt,15,584,0.063456849,0.5,,0.063456849
scp41.txt,16,597,0.062578776,0.5,,0.062578776
scp41.txt,17,624,0.062799589,0.5,,0.062799589
scp41.txt,18,596,0.062884091,0.5,,0.062884091
scp41.txt,19,606,0.064600943,0.5,,0.064600943
scp41.txt,20,602,0.065890958,0.5,,0.065890958
scp41.txt,5,555,0.0536044,0.6,,0.0536044
scp41.txt,6,561,0.05852529,0.6,,0.05852529
scp41.txt,7,568,0.063960935,0.6,,0.063960935
scp41.txt,8,566,0.066390174,0.6,,0.066390174
scp41.txt,9,587,0.067175614,0.6,,0.067175614
scp41.txt,10,567,0.067274824,0.6,,0.067274824
scp41.txt,11,591,0.065677623,0.6,,0.065677623
scp41.txt,12,576,0.064332895,0.6,,0.064332895
scp41.txt,13,576,0.063120083,0.6,,0.063120083
scp41.txt,14,587,0.062080684,0.6,,0.062080684
scp41.txt,15,581,0.061135533,0.6,,0.061135533
scp41.txt,16,586,0.060312339,0.6,,0.060312339
scp41.txt,17,592,0.060519352,0.6,,0.060519352
scp41.txt,18,597,0.060598572,0.6,,0.060598572
scp41.txt,19,599,0.062208121,0.6,,0.062208121
scp41.txt,20,625,0.06341751,0.6,,0.06341751
scp41.txt,5,562,0.051999188,0.7,,0.051999188
scp41.txt,6,565,0.056630614,0.7,,0.056630614
scp41.txt,7,563,0.061746514,0.7,,0.061746514
scp41.txt,8,566,0.064032857,0.7,,0.064032857
scp41.txt,9,571,0.064772094,0.7,,0.064772094
scp41.txt,10,568,0.064865469,0.7,,0.064865469
scp41.txt,11,570,0.063362221,0.7,,0.063362221
scp41.txt,12,586,0.062096595,0.7,,0.062096595
scp41.txt,13,583,0.060955125,0.7,,0.060955125
scp41.txt,14,585,0.059976867,0.7,,0.059976867
scp41.txt,15,594,0.059087313,0.7,,0.059087313
scp41.txt,16,594,0.058312542,0.7,,0.058312542
scp41.txt,17,594,0.058507377,0.7,,0.058507377
scp41.txt,18,604,0.058581938,0.7,,0.058581938
scp41.txt,19,604,0.060096807,0.7,,0.060096807
scp41.txt,20,615,0.061235056,0.7,,0.061235056
scp41.txt,5,567,0.050572332,0.8,,0.050572332
scp41.txt,6,568,0.054946457,0.8,,0.054946457
scp41.txt,7,567,0.059778141,0.8,,0.059778141
scp41.txt,8,570,0.061937465,0.8,,0.061937465
scp41.txt,9,569,0.062635633,0.8,,0.062635633
scp41.txt,10,575,0.062723821,0.8,,0.062723821
scp41.txt,11,581,0.061304086,0.8,,0.061304086
scp41.txt,12,592,0.060108772,0.8,,0.060108772
scp41.txt,13,582,0.059030717,0.8,,0.059030717
scp41.txt,14,635,0.058106807,0.8,,0.058106807
